entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2778,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.463,0.2613,0.054,0.01193,0.008015,0.04717,0.02343,0.01281,0.01672,0.01456,0.01487,0.395,0.4015,
1.478,0.2569,0.06055,0.01191,0.008009,0.04708,0.02344,0.01277,0.01671,0.01455,0.01568,0.3948,0.3946,
1.477,0.2554,0.06043,0.01191,0.008011,0.04697,0.02338,0.01273,0.01672,0.01455,0.01568,0.3949,0.3948,
1.477,0.2545,0.06035,0.0119,0.008011,0.04698,0.02343,0.01263,0.01672,0.01455,0.01568,0.3949,0.3948,
1.476,0.2544,0.06032,0.0119,0.008012,0.04695,0.02347,0.01255,0.01671,0.01455,0.01568,0.3949,0.3949,
1.478,0.2683,0.06055,0.01189,0.008007,0.04681,0.02348,0.01244,0.0167,0.01454,0.01644,0.3947,0.3944,
1.478,0.2581,0.06051,0.01187,0.008005,0.04666,0.02348,0.0124,0.0167,0.01455,0.01644,0.3948,0.3946,
1.477,0.2547,0.06047,0.01185,0.008005,0.04667,0.02352,0.0122,0.0167,0.01455,0.01644,0.3948,0.3948,
1.476,0.2548,0.06036,0.01184,0.008005,0.04662,0.0234,0.01203,0.01671,0.01455,0.01645,0.3949,0.3951,
1.478,0.2465,0.06066,0.01182,0.008,0.04658,0.02346,0.01196,0.0167,0.01454,0.017,0.3948,0.3945,
1.477,0.2399,0.06037,0.01175,0.007979,0.04643,0.02363,0.01173,0.0167,0.01454,0.01735,0.3947,0.3948,
1.472,0.2557,0.05813,0.01164,0.007973,0.04635,0.02373,0.01159,0.01669,0.01455,0.01735,0.3948,0.3972,
1.477,0.2519,0.05993,0.01161,0.007969,0.0463,0.02364,0.01156,0.01668,0.01454,0.01793,0.3946,0.3952,
1.476,0.2435,0.05967,0.0116,0.007961,0.04619,0.02361,0.01149,0.01669,0.01454,0.01793,0.3947,0.3956,
1.472,0.2401,0.05807,0.01152,0.007934,0.04601,0.02368,0.01143,0.01669,0.01454,0.01794,0.3948,0.3974,
1.47,0.2369,0.05747,0.01151,0.007935,0.04591,0.0235,0.01142,0.01669,0.01455,0.01794,0.3948,0.3982,
1.478,0.2374,0.06173,0.01147,0.007932,0.04574,0.02336,0.01128,0.01667,0.01454,0.01828,0.3948,0.3942,
1.479,0.2259,0.06164,0.01134,0.007899,0.0456,0.02316,0.01118,0.01666,0.01453,0.01924,0.3945,0.3943,
1.48,0.2313,0.06148,0.01133,0.007894,0.04551,0.02322,0.01107,0.01664,0.01453,0.01982,0.3943,0.3942,
1.477,0.225,0.06057,0.01133,0.007895,0.04546,0.0233,0.0109,0.01664,0.01453,0.01982,0.3944,0.3952,
1.475,0.2217,0.05966,0.01131,0.007872,0.04543,0.02314,0.01081,0.01661,0.01453,0.01982,0.3944,0.3964,
1.478,0.2369,0.06134,0.01125,0.007862,0.04541,0.02315,0.01076,0.0166,0.01453,0.02023,0.3944,0.3945,
1.479,0.2362,0.0617,0.0112,0.00781,0.04528,0.02323,0.01053,0.01658,0.01452,0.02058,0.3943,0.3942,
1.477,0.244,0.06089,0.01119,0.007811,0.04527,0.02311,0.01047,0.01655,0.01452,0.02058,0.3943,0.3953,
1.473,0.2196,0.05957,0.01115,0.007812,0.04513,0.02303,0.01042,0.01655,0.01452,0.02058,0.3944,0.3968,
1.472,0.2229,0.05899,0.01112,0.007762,0.04508,0.02306,0.01034,0.01655,0.01453,0.02059,0.3945,0.3975,
1.47,0.2206,0.05834,0.01112,0.007759,0.04496,0.02301,0.01025,0.01655,0.01453,0.02059,0.3946,0.3983,
1.478,0.2141,0.06192,0.01111,0.007754,0.0449,0.02296,0.01015,0.01654,0.01452,0.0213,0.3943,0.3945,
1.476,0.2197,0.06104,0.01109,0.007751,0.0449,0.02284,0.01009,0.01654,0.01452,0.0215,0.3943,0.3954,
1.473,0.2257,0.05983,0.01097,0.007717,0.04487,0.02284,0.01005,0.01653,0.01452,0.0215,0.3943,0.3969,
1.468,0.2286,0.05774,0.01093,0.007668,0.04486,0.02278,0.01007,0.0163,0.01471,0.02131,0.3944,0.3993,
1.477,0.2298,0.06237,0.01094,0.007672,0.04488,0.0228,0.01011,0.01633,0.01521,0.0209,0.3944,0.3944,
1.475,0.2247,0.06125,0.01102,0.007696,0.04483,0.02271,0.01007,0.01639,0.01532,0.02066,0.3944,0.3956,
1.472,0.2355,0.06005,0.01106,0.007689,0.04493,0.02251,0.01005,0.01642,0.01544,0.02038,0.3945,0.397,
1.47,0.2327,0.05923,0.01106,0.007642,0.04498,0.02251,0.01001,0.01642,0.0157,0.02008,0.3946,0.3978,
1.476,0.2459,0.0619,0.01106,0.007651,0.04487,0.02245,0.01008,0.01627,0.01579,0.02044,0.3946,0.3949,
1.473,0.2306,0.06103,0.01106,0.007658,0.04476,0.02236,0.01012,0.01617,0.01587,0.01998,0.3948,0.3962,
