FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
1.05097E-4,3.3589,1.08308E-4,0.147332,14613.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8634500000000004E-24,2.43377E-7,14613.1,0.0,0.0,0.0,1.0,6.48587E-22,0.0,0.0,6.9875,0.0,0.0,13.9477,0.0,401.0,145235.0,
0.0171603,1.65716,0.0223434,0.0847965,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,1.95552E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.68968,0.0,0.0,31.8108,0.0,501.0,160582.0,
0.0341518,1.59984,0.0796642,0.0847967,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,3.44158E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.62578,0.0,0.0,37.0116,0.0,601.0,160582.0,
0.0371569,1.52854,0.150959,0.0847968,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,4.79683E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.5814,0.0,0.0,41.1018,0.0,701.0,160582.0,
0.0360537,1.45395,0.225556,0.084797,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,5.91634E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.54942,0.0,0.0,44.3184,0.0,801.0,160582.0,
0.0343172,1.38023,0.299271,0.084797,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,6.85993E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.52583,0.0,0.0,46.848,0.0,901.0,160582.0,
0.0325556,1.30895,0.370555,0.0847972,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,7.68729E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.50814,0.0,0.0,48.8375,0.0,1001.0,160582.0,
0.0308582,1.24065,0.438847,0.0847972,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,8.44033E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.49472,0.0,0.0,50.402,0.0,1101.0,160582.0,
0.0292386,1.17553,0.503967,0.0847972,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,9.14715E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.48444,0.0,0.0,51.6324,0.0,1201.0,160582.0,
0.027698,1.1136,0.565905,0.0847974,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,9.82674E-7,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.47653,0.0,0.0,52.6001,0.0,1301.0,160582.0,
0.0262349,1.05477,0.624729,0.0847974,17988.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.43173E-24,1.04922E-6,17988.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.47041,0.0,0.0,53.3611,0.0,1401.0,160582.0,
