entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2779,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.462,0.265,0.05407,0.01193,0.008016,0.04703,0.02352,0.01264,0.01672,0.01456,0.01487,0.395,0.4016,
1.462,0.2518,0.05398,0.01193,0.008016,0.04701,0.02335,0.01261,0.01672,0.01456,0.01487,0.3951,0.4019,
1.461,0.2613,0.05394,0.01193,0.008017,0.04699,0.0234,0.01252,0.01672,0.01456,0.01487,0.3951,0.4019,
1.461,0.2479,0.05395,0.01193,0.008017,0.04693,0.02339,0.01248,0.01671,0.01456,0.01487,0.3951,0.402,
1.476,0.2484,0.06103,0.01192,0.008013,0.0468,0.02334,0.01247,0.0167,0.01455,0.01547,0.395,0.3947,
1.476,0.2417,0.06095,0.01191,0.008013,0.0468,0.0233,0.01246,0.0167,0.01455,0.01547,0.395,0.3948,
1.475,0.2505,0.06092,0.01191,0.008014,0.04677,0.02345,0.01226,0.01671,0.01456,0.01547,0.3951,0.3949,
1.475,0.2354,0.06087,0.01191,0.008014,0.04668,0.0234,0.01222,0.01671,0.01456,0.01548,0.3951,0.395,
1.473,0.2483,0.0608,0.01189,0.007927,0.04666,0.02436,0.01108,0.0167,0.01455,0.01548,0.3952,0.3954,
1.475,0.2324,0.06139,0.01188,0.007923,0.0466,0.02442,0.01089,0.01668,0.01454,0.01603,0.395,0.3946,
1.473,0.2401,0.0597,0.01183,0.007892,0.04656,0.02426,0.01083,0.01666,0.01453,0.01691,0.3947,0.3961,
1.468,0.2398,0.05718,0.01177,0.007863,0.04642,0.0244,0.01065,0.01665,0.01453,0.01691,0.3948,0.3988,
1.464,0.2383,0.05572,0.01172,0.007833,0.04638,0.02455,0.01043,0.01665,0.01454,0.01692,0.3948,0.4005,
1.46,0.2377,0.05409,0.0117,0.007812,0.04629,0.02472,0.01021,0.01665,0.01454,0.01692,0.3948,0.4022,
1.455,0.2424,0.05176,0.01165,0.007792,0.04617,0.02474,0.01011,0.01665,0.01454,0.01692,0.3949,0.4047,
1.474,0.246,0.06066,0.01163,0.007787,0.04607,0.02462,0.01005,0.01663,0.01453,0.01768,0.3947,0.3956,
1.478,0.2323,0.0613,0.01158,0.007728,0.04587,0.02461,0.009953,0.0166,0.01451,0.01918,0.3942,0.3945,
1.475,0.231,0.05989,0.01157,0.007728,0.04578,0.02447,0.009945,0.0166,0.01451,0.01918,0.3943,0.396,
1.47,0.2308,0.05851,0.01146,0.007724,0.04573,0.02399,0.009886,0.01659,0.01452,0.01919,0.3944,0.398,
1.465,0.2318,0.05658,0.01135,0.007709,0.04562,0.02393,0.009849,0.01658,0.01452,0.01919,0.3945,0.4002,
1.477,0.2243,0.06216,0.01124,0.007705,0.0455,0.02391,0.009754,0.01656,0.01451,0.01985,0.3943,0.3945,
1.477,0.2398,0.06225,0.01117,0.007689,0.04547,0.02395,0.009683,0.01656,0.01451,0.02004,0.3943,0.3944,
1.473,0.2419,0.061,0.01107,0.007685,0.04548,0.02368,0.009645,0.01655,0.01452,0.02004,0.3944,0.3959,
1.477,0.2302,0.06296,0.01094,0.007674,0.04543,0.02331,0.009599,0.01654,0.01451,0.02079,0.3942,0.394,
1.476,0.2298,0.06225,0.01093,0.007673,0.04539,0.02327,0.009543,0.01654,0.01451,0.02079,0.3943,0.3948,
