FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
2.76538E-4,7.23456,2.76798E-4,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,4.73781E-7,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,7.06014,0.0,0.0,62.732,0.0,101.0,731980.0,
0.0105441,7.22415,0.0106676,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,1.76738E-6,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.89039,0.0,0.0,93.2132,0.0,201.0,731980.0,
0.113283,7.10706,0.127768,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,4.28183E-6,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.77339,0.0,0.0,122.341,0.0,301.0,731980.0,
0.324181,6.71229,0.522529,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,7.35962E-6,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.69941,0.0,0.0,145.249,0.0,401.0,731980.0,
0.425707,6.06909,1.16574,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,1.03337E-5,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.64895,0.0,0.0,163.265,0.0,501.0,731980.0,
0.410631,5.34147,1.89335,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,1.29044E-5,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.61302,0.0,0.0,177.435,0.0,601.0,731980.0,
0.362749,4.63558,2.59923,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,1.50835E-5,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.58671,0.0,0.0,188.578,0.0,701.0,731980.0,
0.313411,3.99334,3.24148,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,1.69633E-5,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.56708,0.0,0.0,197.342,0.0,801.0,731980.0,
0.268986,3.42578,3.80904,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,1.86293E-5,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.55225,0.0,0.0,204.235,0.0,901.0,731980.0,
0.230193,2.93152,4.30329,6.28683,38392.5,6483.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.89107E-25,2.01446E-5,44875.8,0.0,0.0,0.0,1.0,3.85041E-21,0.0,0.0,6.54093,0.0,0.0,209.656,0.0,1001.0,731980.0,
