FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
1.32752E-5,5.97715,1.42229E-5,0.0881777,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,1.24044E-7,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,7.17618,0.0,0.0,21.2167,0.0,101.0,333318.0,
0.00613732,5.97098,0.00618102,0.0881787,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,1.09136E-6,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.89363,0.0,0.0,41.5821,0.0,201.0,333318.0,
0.100864,5.8622,0.114962,0.0881805,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,2.83824E-6,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.75497,0.0,0.0,57.5983,0.0,301.0,333318.0,
0.267656,5.546,0.43117,0.0881823,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,4.54949E-6,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.68213,0.0,0.0,68.2992,0.0,401.0,333318.0,
0.35347,4.95035,1.0268,0.088184,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,6.35397E-6,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.62189,0.0,0.0,78.6097,0.0,501.0,333318.0,
0.332716,4.3025,1.67466,0.0881853,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,7.73811E-6,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.57977,0.0,0.0,86.7183,0.0,601.0,333318.0,
0.28968,3.69721,2.27996,0.0881863,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,8.79916E-6,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.54929,0.0,0.0,93.095,0.0,701.0,333318.0,
0.248108,3.16059,2.81658,0.0881873,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,9.64775E-6,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.52674,0.0,0.0,98.1101,0.0,801.0,333318.0,
0.211589,2.69468,3.28249,0.0881879,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,1.03587E-5,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.50979,0.0,0.0,102.054,0.0,901.0,333318.0,
0.180134,2.294,3.68315,0.0881886,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,1.09788E-5,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.49691,0.0,0.0,105.156,0.0,1001.0,333318.0,
0.15321,1.95112,4.02603,0.0881891,25464.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.482229999999999E-25,1.15375E-5,25464.8,0.0,0.0,0.0,1.0,1.48853E-21,0.0,0.0,6.48705,0.0,0.0,107.595,0.0,1101.0,333318.0,
1.33328E-5,6.0031,0.0144775,1.52867,31375.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25742E-23,6.30809E-4,31375.5,0.0,0.0,0.0,1.0,2.2153199999999998E-21,0.0,0.0,7.18261,0.0,0.0,31.5142,0.0,1201.0,495094.0,
0.00616392,5.99689,0.0205896,1.52875,31375.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25742E-23,7.13178E-4,31375.5,0.0,0.0,0.0,1.0,2.2153199999999998E-21,0.0,0.0,6.89698,0.0,0.0,61.764,0.0,1301.0,495094.0,
0.101302,5.88764,0.129841,1.52875,31375.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25742E-23,7.15981E-4,31375.5,0.0,0.0,0.0,1.0,2.2153199999999998E-21,0.0,0.0,6.7574,0.0,0.0,85.5538,0.0,1401.0,495094.0,
0.295131,5.48164,0.535834,1.52876,31375.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.25742E-23,7.18149E-4,31375.5,0.0,0.0,0.0,1.0,2.2153199999999998E-21,0.0,0.0,6.67241,0.0,0.0,104.263,0.0,1501.0,495094.0,
0.333043,4.75725,1.14687,26.8209,50974.9,1256.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89967E-23,6.0478E-4,52231.5,0.0,0.0,0.0,1.0,5.43532E-21,0.0,0.0,6.5267,0.0,0.0,316.484,0.0,1601.0,1067630.0,
0.313908,4.05517,1.84895,26.8209,50974.9,1256.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89967E-23,6.05117E-4,52231.5,0.0,0.0,0.0,1.0,5.43532E-21,0.0,0.0,6.51219,0.0,0.0,327.272,0.0,1701.0,1067630.0,
0.243437,3.45229,2.45183,26.8209,50974.9,1256.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.89967E-23,6.0539E-4,52231.5,0.0,0.0,0.0,1.0,5.43532E-21,0.0,0.0,6.50057,0.0,0.0,336.173,0.0,1801.0,1067630.0,
2.1287699999999998E-25,3.02655,0.103339,2.27827,19363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50724E-23,2.1883900000000003E-24,19363.3,0.0,0.0,0.0,1.0,1.1305499999999999E-21,0.0,0.0,7.35843,0.0,0.0,10.0354,0.0,2001.0,251895.0,
6.98649E-4,3.02585,0.0991791,2.28313,19363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50423E-23,0.00485135,19363.3,0.0,0.0,0.0,1.0,1.1305499999999999E-21,0.0,0.0,6.9583,0.0,0.0,26.6724,0.0,2101.0,251391.0,
0.0251214,2.99969,0.12531,2.28315,19363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49822E-23,0.00485343,19363.3,0.0,0.0,0.0,1.0,1.1305499999999999E-21,0.0,0.0,6.79038,0.0,0.0,39.6133,0.0,2201.0,250638.0,
0.11801,2.8492,0.275798,2.28315,19363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4818200000000002E-23,0.00480281,19363.3,0.0,0.0,0.0,1.0,1.1305499999999999E-21,0.0,0.0,6.69245,0.0,0.0,49.3285,0.0,2301.0,247895.0,
0.173282,2.56086,0.564141,2.28315,19363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47443E-23,0.00478008,19363.3,0.0,0.0,0.0,1.0,1.1305499999999999E-21,0.0,0.0,6.62849,0.0,0.0,57.0238,0.0,2401.0,246658.0,
0.167424,2.23244,0.892552,2.28315,19363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47001E-23,0.00476659,19363.3,0.0,0.0,0.0,1.0,1.1305499999999999E-21,0.0,0.0,6.58364,0.0,0.0,63.0798,0.0,2501.0,245672.0,
0.145491,1.92088,1.20411,2.28315,19363.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.45829E-23,0.00472917,19363.3,0.0,0.0,0.0,1.0,1.1305499999999999E-21,0.0,0.0,6.55204,0.0,0.0,67.4348,0.0,2601.0,243958.0,
0.234188,2.78644,5.93644,4.34129,49579.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42936E-23,0.0117636,49579.8,0.0,0.0,0.0,1.0,4.20833E-21,0.0,0.0,6.4907,0.0,0.0,267.239,0.0,2701.0,830282.0,
0.187655,2.36873,6.35415,4.34129,44553.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.42936E-23,0.0117644,44553.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,6.49572,0.0,0.0,272.183,0.0,2801.0,855415.0,
