RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
8222000.0,1813000.0,1218000.0,7169000.0,3573000.0,1952000.0,2542000.0,2212000.0,2260000.0,6.0E7,6.1E7,
8212000.0,1813000.0,1218000.0,7164000.0,3572000.0,1933000.0,2542000.0,2212000.0,2260000.0,6.003E7,6.102E7,
8202000.0,1811000.0,1218000.0,7137000.0,3574000.0,1897000.0,2542000.0,2212000.0,2260000.0,6.003E7,6.105E7,
8202000.0,1811000.0,1218000.0,7132000.0,3579000.0,1877000.0,2542000.0,2212000.0,2260000.0,6.003E7,6.107E7,
9285000.0,1810000.0,1218000.0,7128000.0,3600000.0,1843000.0,2541000.0,2212000.0,2278000.0,6.003E7,5.999E7,
9275000.0,1809000.0,1217000.0,7116000.0,3616000.0,1827000.0,2541000.0,2212000.0,2277000.0,6.003E7,5.999E7,
9265000.0,1804000.0,1217000.0,7106000.0,3627000.0,1816000.0,2541000.0,2212000.0,2277000.0,6.003E7,5.999E7,
9260000.0,1804000.0,1217000.0,7106000.0,3622000.0,1815000.0,2540000.0,2212000.0,2329000.0,6.003E7,6.0E7,
9332000.0,1802000.0,1217000.0,7087000.0,3593000.0,1806000.0,2536000.0,2209000.0,2497000.0,5.998E7,5.997E7,
9324000.0,1801000.0,1217000.0,7071000.0,3587000.0,1785000.0,2536000.0,2209000.0,2497000.0,6.003E7,6.0E7,
9281000.0,1799000.0,1217000.0,7042000.0,3583000.0,1758000.0,2536000.0,2209000.0,2497000.0,6.003E7,6.006E7,
9162000.0,1782000.0,1212000.0,7037000.0,3587000.0,1753000.0,2536000.0,2209000.0,2615000.0,6.003E7,6.018E7,
9419000.0,1760000.0,1210000.0,7018000.0,3592000.0,1748000.0,2536000.0,2209000.0,2698000.0,6.003E7,5.994E7,
9251000.0,1757000.0,1210000.0,7013000.0,3607000.0,1733000.0,2536000.0,2209000.0,2698000.0,6.003E7,6.011E7,
8875000.0,1653000.0,1206000.0,6991000.0,3599000.0,1717000.0,2533000.0,2208000.0,2698000.0,6.003E7,6.06E7,
9405000.0,1626000.0,1202000.0,6967000.0,3571000.0,1714000.0,2531000.0,2207000.0,2753000.0,5.997E7,6.012E7,
9277000.0,1622000.0,1202000.0,6957000.0,3571000.0,1714000.0,2531000.0,2207000.0,2753000.0,6.003E7,6.024E7,
9335000.0,1615000.0,1201000.0,6931000.0,3571000.0,1701000.0,2531000.0,2207000.0,2873000.0,6.003E7,6.019E7,
9547000.0,1606000.0,1200000.0,6904000.0,3558000.0,1695000.0,2529000.0,2207000.0,2908000.0,5.999E7,6.0E7,
9363000.0,1601000.0,1200000.0,6904000.0,3541000.0,1685000.0,2526000.0,2207000.0,2908000.0,6.003E7,6.021E7,
9034000.0,1592000.0,1199000.0,6890000.0,3522000.0,1673000.0,2525000.0,2207000.0,2908000.0,6.003E7,6.057E7,
8999000.0,1589000.0,1199000.0,6871000.0,3522000.0,1665000.0,2525000.0,2207000.0,2908000.0,6.003E7,6.059E7,
8859000.0,1586000.0,1198000.0,6861000.0,3522000.0,1665000.0,2525000.0,2207000.0,2908000.0,6.003E7,6.072E7,
8837000.0,1582000.0,1198000.0,6851000.0,3486000.0,1665000.0,2525000.0,2207000.0,2908000.0,6.003E7,6.079E7,
9654000.0,1580000.0,1197000.0,6834000.0,3470000.0,1650000.0,2523000.0,2205000.0,3008000.0,5.993E7,5.999E7,
9495000.0,1573000.0,1197000.0,6825000.0,3884000.0,1236000.0,2523000.0,2205000.0,3008000.0,6.003E7,6.014E7,
9255000.0,1562000.0,1193000.0,6810000.0,3878000.0,1230000.0,2523000.0,2205000.0,3008000.0,6.003E7,6.043E7,
9611000.0,1557000.0,1193000.0,6805000.0,3839000.0,1226000.0,2519000.0,2205000.0,3153000.0,6.003E7,6.011E7,
9503000.0,1555000.0,1193000.0,6798000.0,3822000.0,1211000.0,2519000.0,2205000.0,3153000.0,6.003E7,6.025E7,
9732000.0,1553000.0,1193000.0,6793000.0,3810000.0,1208000.0,2519000.0,2205000.0,3252000.0,6.003E7,6.002E7,
9371000.0,1550000.0,1193000.0,6778000.0,3777000.0,1200000.0,2516000.0,2205000.0,3252000.0,6.003E7,6.041E7,
9544000.0,1556000.0,1184000.0,6790000.0,3778000.0,1188000.0,2528000.0,2193000.0,3309000.0,6.003E7,6.022E7,
