entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2779,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.463,0.2618,0.05403,0.01193,0.008015,0.04714,0.02351,0.01272,0.01672,0.01456,0.01487,0.395,0.4015,
1.462,0.2609,0.05399,0.01192,0.008016,0.04698,0.02352,0.01248,0.01673,0.01456,0.01487,0.3951,0.4018,
1.461,0.261,0.05399,0.01192,0.008016,0.04695,0.02356,0.01235,0.01673,0.01456,0.01487,0.3951,0.4019,
1.475,0.2515,0.06111,0.01191,0.008015,0.04691,0.0237,0.01213,0.01673,0.01456,0.01499,0.3951,0.3949,
1.474,0.2563,0.06106,0.01191,0.008014,0.04684,0.0238,0.01202,0.01673,0.01456,0.01499,0.3952,0.3949,
1.474,0.2435,0.061,0.01188,0.008013,0.04678,0.02388,0.01195,0.01673,0.01456,0.01499,0.3952,0.395,
1.475,0.245,0.06095,0.01187,0.008011,0.04677,0.02384,0.01194,0.01672,0.01456,0.01533,0.3951,0.3949,
1.478,0.2427,0.06138,0.01185,0.008004,0.04661,0.02363,0.01188,0.01668,0.01453,0.01642,0.3945,0.3945,
1.477,0.2404,0.06132,0.01184,0.008002,0.0465,0.02359,0.01174,0.01668,0.01453,0.01642,0.3948,0.3946,
1.475,0.2434,0.06106,0.01183,0.008003,0.04633,0.02357,0.01156,0.01669,0.01453,0.01642,0.3949,0.3951,
1.475,0.235,0.06024,0.01171,0.007966,0.04627,0.02359,0.01152,0.01668,0.01452,0.01719,0.3947,0.3956,
1.479,0.2464,0.0619,0.01157,0.00795,0.04612,0.02361,0.01149,0.01667,0.01452,0.01773,0.3945,0.3939,
1.477,0.2388,0.0608,0.01155,0.00795,0.04609,0.02371,0.01139,0.01667,0.01452,0.01773,0.3945,0.395,
1.469,0.2377,0.05835,0.01086,0.00793,0.04596,0.02366,0.01129,0.01665,0.01451,0.01774,0.3946,0.3984,
1.475,0.2274,0.06185,0.01069,0.007904,0.04581,0.02349,0.01127,0.01664,0.01452,0.01811,0.3944,0.3953,
1.473,0.23,0.06099,0.01066,0.007902,0.04574,0.02348,0.01127,0.01664,0.01451,0.0181,0.3947,0.396,
1.475,0.2153,0.06134,0.01061,0.007893,0.04554,0.02347,0.01118,0.01663,0.0145,0.01888,0.3945,0.3955,
1.477,0.2144,0.06275,0.01056,0.007889,0.04538,0.02338,0.01114,0.01662,0.0145,0.01911,0.3943,0.3943,
1.474,0.218,0.06153,0.01052,0.007883,0.04537,0.02327,0.01107,0.0166,0.0145,0.01911,0.3945,0.3956,
1.469,0.2175,0.05937,0.01047,0.00788,0.04529,0.02315,0.01099,0.01659,0.0145,0.01911,0.3945,0.3981,
1.468,0.2174,0.05917,0.01045,0.007882,0.04517,0.02316,0.01095,0.0166,0.01451,0.01912,0.3947,0.3983,
1.466,0.2266,0.05825,0.01043,0.00788,0.04511,0.02316,0.01095,0.0166,0.01451,0.01912,0.3947,0.3993,
1.465,0.2167,0.05811,0.01041,0.00788,0.04505,0.02292,0.01095,0.0166,0.01451,0.01912,0.3947,0.3997,
1.476,0.2125,0.06349,0.0104,0.007873,0.04495,0.02283,0.01085,0.0166,0.0145,0.01978,0.3942,0.3946,
1.471,0.2054,0.06242,0.01034,0.007869,0.04486,0.02553,0.008124,0.01659,0.01449,0.01977,0.3946,0.3954,
1.468,0.206,0.06084,0.01027,0.007844,0.04477,0.0255,0.008084,0.01659,0.01449,0.01977,0.3946,0.3972,
1.473,0.2026,0.06312,0.01023,0.007837,0.0447,0.02521,0.008053,0.01654,0.01448,0.02071,0.3943,0.3948,
1.471,0.202,0.06242,0.01021,0.007837,0.04465,0.0251,0.007951,0.01654,0.01448,0.02071,0.3943,0.3958,
1.475,0.1943,0.0639,0.0102,0.007831,0.0446,0.02501,0.007928,0.01654,0.01448,0.02135,0.3941,0.394,
1.47,0.1908,0.06154,0.01018,0.007832,0.04451,0.0248,0.007882,0.01652,0.01448,0.02136,0.3942,0.3967,
1.472,0.1891,0.06266,0.01021,0.007775,0.04457,0.0248,0.0078,0.01659,0.01439,0.02173,0.3941,0.3954,
1.471,0.1919,0.0617,0.01031,0.007781,0.04461,0.02476,0.007753,0.01672,0.01426,0.02173,0.3941,0.3962,
1.467,0.1952,0.0607,0.01031,0.007681,0.04457,0.02458,0.007661,0.01667,0.01431,0.02169,0.3942,0.3976,
1.463,0.1999,0.05917,0.01027,0.007688,0.04459,0.02427,0.007743,0.01663,0.01464,0.02092,0.3945,0.3996,
1.473,0.1911,0.0648,0.01033,0.007688,0.04456,0.02405,0.007822,0.01647,0.01468,0.02108,0.3944,0.3941,
1.472,0.1928,0.06399,0.0103,0.007681,0.04469,0.02371,0.00786,0.01651,0.0147,0.02127,0.3943,0.395,
1.473,0.192,0.06478,0.0103,0.007682,0.04455,0.02358,0.007842,0.01652,0.01476,0.02152,0.3942,0.3943,
1.467,0.1971,0.06283,0.01031,0.007669,0.04451,0.02293,0.007923,0.01648,0.01492,0.02112,0.3943,0.397,
1.464,0.2079,0.06136,0.01031,0.00766,0.04457,0.02277,0.007988,0.01631,0.01496,0.02108,0.3944,0.3986,
1.457,0.207,0.05983,0.0103,0.007616,0.04461,0.0249,0.00565,0.01621,0.01496,0.02108,0.3945,0.4004,
1.454,0.2038,0.05818,0.01031,0.007627,0.04496,0.02458,0.005601,0.0161,0.01529,0.02076,0.3945,0.402,
1.45,0.198,0.05713,0.01026,0.007626,0.04482,0.0243,0.00552,0.01617,0.01529,0.0206,0.3947,0.4036,
1.467,0.1931,0.06558,0.0103,0.007623,0.04473,0.02418,0.005678,0.01597,0.01598,0.02043,0.3946,0.395,
1.468,0.1916,0.0659,0.01035,0.007627,0.04464,0.02405,0.005761,0.01592,0.01613,0.02055,0.3945,0.3945,
1.466,0.1955,0.06487,0.0103,0.007645,0.0451,0.02383,0.005802,0.016,0.01624,0.02005,0.3947,0.3955,
1.464,0.2097,0.06443,0.01032,0.007656,0.04509,0.02351,0.005803,0.01604,0.01627,0.01999,0.3948,0.3961,
1.46,0.2157,0.06303,0.01038,0.00763,0.04523,0.02302,0.005793,0.01605,0.01634,0.0198,0.3949,0.3979,
1.467,0.2089,0.06561,0.01039,0.007635,0.04528,0.02295,0.005735,0.01604,0.01651,0.02033,0.3942,0.3953,
1.466,0.1963,0.06505,0.0104,0.007649,0.0452,0.02256,0.00586,0.01581,0.01674,0.02067,0.3944,0.3956,
1.464,0.1998,0.06393,0.01043,0.007657,0.0452,0.02231,0.006387,0.01524,0.01697,0.02044,0.3944,0.397,
1.463,0.2038,0.06309,0.01051,0.007664,0.04515,0.02234,0.006513,0.01508,0.01712,0.02026,0.3945,0.3977,
1.46,0.2066,0.06233,0.01053,0.007682,0.04504,0.02231,0.006484,0.01519,0.01703,0.01998,0.3948,0.3986,
1.466,0.207,0.06515,0.01058,0.00769,0.04501,0.02234,0.006651,0.01503,0.01699,0.02013,0.3947,0.3957,
1.461,0.2049,0.06406,0.01063,0.007699,0.04496,0.02228,0.006608,0.0221,0.009836,0.02,0.3949,0.397,
1.456,0.2111,0.06193,0.0106,0.007612,0.04501,0.02229,0.006513,0.02213,0.01007,0.01969,0.3949,0.3993,
1.465,0.2089,0.06588,0.01058,0.007574,0.04506,0.02235,0.006503,0.02224,0.009926,0.02031,0.3946,0.3949,
