entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2779,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.463,0.2652,0.05404,0.01193,0.008016,0.04711,0.02347,0.01273,0.01672,0.01456,0.01487,0.395,0.4016,
1.477,0.2529,0.06088,0.01192,0.008013,0.04691,0.02356,0.01257,0.01671,0.01455,0.0154,0.3949,0.3946,
1.477,0.2541,0.06086,0.01192,0.008013,0.04691,0.0236,0.01252,0.01671,0.01455,0.0154,0.3949,0.3946,
1.476,0.2511,0.06084,0.01192,0.008013,0.04687,0.02355,0.01249,0.01671,0.01455,0.0154,0.395,0.3947,
1.478,0.2499,0.06071,0.0119,0.008006,0.04678,0.02352,0.01244,0.0167,0.01454,0.01636,0.3946,0.3944,
1.48,0.2422,0.06066,0.01189,0.008,0.04668,0.02368,0.0122,0.01669,0.01453,0.01714,0.3944,0.3942,
1.48,0.238,0.06064,0.01188,0.008001,0.04656,0.02364,0.01215,0.01668,0.01453,0.01714,0.3944,0.3943,
1.479,0.2459,0.06062,0.01188,0.008002,0.04642,0.02362,0.01211,0.01668,0.01453,0.01714,0.3945,0.3945,
1.48,0.2379,0.06094,0.01187,0.007999,0.04631,0.02362,0.0121,0.01668,0.01453,0.01749,0.3944,0.394,
1.48,0.2443,0.06083,0.01186,0.007951,0.04625,0.02357,0.01207,0.01667,0.01453,0.01749,0.3945,0.3943,
1.476,0.2378,0.05902,0.01181,0.007943,0.04622,0.02357,0.01198,0.01666,0.01453,0.0175,0.3945,0.3963,
1.471,0.2385,0.05732,0.01171,0.007938,0.04607,0.02352,0.01195,0.01666,0.01454,0.0175,0.3946,0.3982,
1.468,0.2421,0.05599,0.0117,0.007938,0.04593,0.02339,0.01187,0.01667,0.01454,0.0175,0.3947,0.3997,
1.478,0.2377,0.06125,0.0117,0.007938,0.04582,0.02329,0.01183,0.01667,0.01454,0.0179,0.3944,0.3947,
1.478,0.237,0.06098,0.01166,0.007929,0.04564,0.02326,0.01179,0.01666,0.01453,0.01834,0.3946,0.3946,
1.481,0.2377,0.06121,0.01165,0.007921,0.04552,0.0233,0.01168,0.01665,0.01452,0.01928,0.3943,0.3939,
1.481,0.2345,0.0608,0.0116,0.007909,0.04542,0.02323,0.01159,0.01664,0.01451,0.0199,0.3942,0.3942,
1.483,0.2309,0.06138,0.01159,0.007906,0.04535,0.0231,0.01155,0.01663,0.01451,0.02033,0.3941,0.3936,
1.481,0.2378,0.06008,0.01152,0.007899,0.0453,0.02305,0.01151,0.01663,0.01451,0.02067,0.3938,0.3951,
1.479,0.2381,0.05946,0.01151,0.007895,0.04515,0.02293,0.01147,0.01662,0.01451,0.02066,0.394,0.3957,
1.483,0.2447,0.06148,0.01149,0.007794,0.04485,0.02293,0.01147,0.01662,0.0145,0.0212,0.394,0.3937,
1.481,0.2464,0.06065,0.01146,0.007795,0.0447,0.02297,0.01139,0.01661,0.0145,0.0212,0.3941,0.3946,
1.481,0.2307,0.06083,0.01134,0.007711,0.04463,0.02291,0.01118,0.0166,0.0145,0.02168,0.3939,0.3947,
1.483,0.2269,0.06202,0.01134,0.007709,0.04458,0.02268,0.01106,0.01659,0.01449,0.02205,0.3938,0.3936,
1.478,0.2317,0.06003,0.01115,0.007688,0.04439,0.02265,0.01096,0.01658,0.01449,0.02237,0.3938,0.3959,
1.475,0.2267,0.05876,0.01115,0.007689,0.04439,0.02272,0.01082,0.01658,0.01449,0.02237,0.3938,0.3972,
1.473,0.2216,0.05787,0.01113,0.00768,0.04436,0.02264,0.01077,0.01656,0.01448,0.02236,0.3939,0.3983,
1.486,0.2149,0.06274,0.01105,0.007672,0.04426,0.02261,0.01072,0.01654,0.01447,0.02395,0.3929,0.393,
1.483,0.2147,0.06187,0.01097,0.007667,0.04424,0.02263,0.01059,0.01652,0.01446,0.02393,0.3933,0.3938,
1.48,0.2344,0.06056,0.01088,0.007619,0.04425,0.0226,0.01046,0.01651,0.01446,0.02394,0.3934,0.3953,
1.485,0.2252,0.06263,0.01094,0.007616,0.04427,0.02262,0.01038,0.0165,0.01446,0.02449,0.3931,0.393,
1.485,0.2139,0.06231,0.01096,0.007618,0.04419,0.02259,0.01044,0.01639,0.01489,0.02434,0.3931,0.3931,
1.481,0.2106,0.0603,0.0108,0.007575,0.04418,0.02263,0.01057,0.01624,0.01502,0.02422,0.3932,0.3953,
1.488,0.2047,0.06272,0.01081,0.007588,0.04423,0.02269,0.01053,0.01622,0.01529,0.02479,0.3922,0.3929,
1.486,0.2138,0.06129,0.01082,0.007575,0.04465,0.02278,0.01055,0.01613,0.01561,0.02422,0.3931,0.3933,
1.482,0.2221,0.05958,0.01078,0.007597,0.04461,0.0228,0.0105,0.01612,0.0158,0.02384,0.3932,0.3952,
1.478,0.2114,0.05794,0.01078,0.007612,0.04441,0.02286,0.01063,0.01594,0.01603,0.02362,0.3933,0.3969,
