FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
2.65243E-7,6.34878,6.67425E-6,0.845348,27744.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.519490000000001E-24,9.72903E-7,27744.5,0.0,0.0,0.0,1.0,1.59314E-21,0.0,0.0,7.66197,0.0,0.0,6.76944,0.0,501.0,356745.0,
2.66749E-7,6.34878,5.04559E-6,0.845351,27744.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.519490000000001E-24,2.60307E-6,27744.5,0.0,0.0,0.0,1.0,1.59314E-21,0.0,0.0,7.86591,0.0,0.0,3.85791,0.0,601.0,356745.0,
2.81538E-7,5.55711,3.33797E-6,0.739941,24284.9,10999.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.987750000000001E-24,4.04607E-6,35284.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.87117,0.0,0.0,5.48995,0.0,701.0,482408.0,
2.81628E-7,5.55711,2.64338E-6,0.739941,24284.9,10999.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.987750000000001E-24,4.77199E-6,35284.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.91152,0.0,0.0,4.9142,0.0,801.0,482408.0,
2.81696E-7,5.55711,1.99788E-6,0.739941,24284.9,10999.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.987750000000001E-24,5.41754E-6,35284.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.91758,0.0,0.0,4.83224,0.0,901.0,482408.0,
2.81759E-7,5.55711,1.51003E-6,0.739941,24284.9,10999.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.987750000000001E-24,5.90545E-6,35284.3,0.0,0.0,0.0,1.0,1.0,0.0,0.0,7.91813,0.0,0.0,4.82481,0.0,1001.0,482408.0,
2.66055E-8,3.79829,8.17347E-7,0.551929,0.0,7539.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.48124E-25,6.55839E-7,7539.82,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.52441,0.0,0.0,0.502665,0.0,1101.0,50265.5,
9.79524E-8,2.34456,4.24403E-6,0.823643,12089.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.080590000000001E-24,6.2012E-7,12089.2,0.0,0.0,0.0,1.0,5.19195E-22,0.0,0.0,7.55942,0.0,0.0,2.2055,0.0,1301.0,116228.0,
9.85086E-8,2.34456,3.20808E-6,0.823643,12089.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.080590000000001E-24,1.65663E-6,12089.2,0.0,0.0,0.0,1.0,5.19195E-22,0.0,0.0,7.7118,0.0,0.0,1.25691,0.0,1401.0,116228.0,
9.85429E-8,2.34456,2.42464E-6,0.823644,12089.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.080590000000001E-24,2.4401E-6,12089.2,0.0,0.0,0.0,1.0,5.19195E-22,0.0,0.0,7.72868,0.0,0.0,1.17087,0.0,1501.0,116228.0,
5.63097E-8,1.47748,9.75504E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,1.68127E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.7571,0.0,0.0,1.33571,0.0,1601.0,133512.0,
5.63267E-8,1.47748,7.37287E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,1.91949E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.7572,0.0,0.0,1.33518,0.0,1701.0,133512.0,
5.63435E-8,1.47748,5.57245E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.09956E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,1801.0,133512.0,
5.63605E-8,1.47748,4.21172E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.23565E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,1901.0,133512.0,
5.63773E-8,1.47748,3.18329E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.33851E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2001.0,133512.0,
5.63941E-8,1.47748,2.40604E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.41625E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2101.0,133512.0,
5.64111E-8,1.47748,1.8186E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.47501E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2201.0,133512.0,
5.64279E-8,1.47748,1.37461E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.51943E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2301.0,133512.0,
5.64447E-8,1.47748,1.03905E-7,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.55299E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2401.0,133512.0,
5.64615E-8,1.47748,7.85449E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.57838E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2501.0,133512.0,
5.64785E-8,1.47748,5.93777E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.59756E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2601.0,133512.0,
5.64953E-8,1.47748,4.48913E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.61206E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2701.0,133512.0,
5.65121E-8,1.47748,3.3943E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.62302E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2801.0,133512.0,
5.65291E-8,1.47748,2.56684E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.63131E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,2901.0,133512.0,
5.65459E-8,1.47748,1.94145E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.63759E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,3001.0,133512.0,
5.65629E-8,1.47748,1.46878E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.64233E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,3101.0,133512.0,
5.65797E-8,1.47748,1.11155E-8,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.64592E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,3201.0,133512.0,
5.65965E-8,1.47748,8.41568E-9,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.64863E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,3301.0,133512.0,
5.66135E-8,1.47748,6.37516E-9,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.65069E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,3401.0,133512.0,
5.66303E-8,1.47748,4.83295E-9,3.42327,14841.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7063900000000004E-24,2.65225E-6,14841.1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.75721,0.0,0.0,1.33512,0.0,3501.0,133512.0,
