entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2727,0.05409,0.01193,0.008015,0.04717,0.02351,0.01284,0.01672,0.01455,0.01487,0.395,0.4013,
1.476,0.2553,0.06094,0.01192,0.008016,0.04706,0.02354,0.01262,0.01672,0.01456,0.01487,0.3951,0.3947,
1.475,0.2542,0.06092,0.01191,0.008016,0.04697,0.02351,0.01252,0.01673,0.01456,0.01487,0.3951,0.3949,
1.477,0.2525,0.06085,0.0119,0.00801,0.0469,0.02357,0.01244,0.01671,0.01455,0.01571,0.3948,0.3946,
1.477,0.2592,0.06072,0.01187,0.008011,0.04682,0.02368,0.01234,0.01672,0.01455,0.01571,0.3949,0.3947,
1.476,0.2557,0.06055,0.01187,0.00801,0.0468,0.02364,0.01222,0.01672,0.01455,0.01572,0.395,0.3949,
1.476,0.2555,0.06052,0.01187,0.00801,0.04677,0.02365,0.01217,0.01671,0.01456,0.01572,0.395,0.395,
1.475,0.2572,0.06046,0.01184,0.008011,0.04673,0.02364,0.01198,0.01672,0.01456,0.01572,0.3951,0.3952,
1.479,0.2547,0.0612,0.01178,0.008,0.04658,0.0234,0.01192,0.0167,0.01454,0.01707,0.3946,0.3942,
1.479,0.2497,0.06104,0.01176,0.007996,0.04642,0.02347,0.01181,0.01668,0.01453,0.01766,0.3945,0.3941,
1.478,0.2411,0.06095,0.01175,0.007917,0.04623,0.02346,0.01174,0.01668,0.01454,0.01767,0.3947,0.3944,
1.475,0.2405,0.05956,0.01168,0.00791,0.04609,0.02335,0.01171,0.01669,0.01454,0.01767,0.3948,0.396,
1.478,0.2355,0.06135,0.01152,0.007869,0.04588,0.02338,0.01164,0.01669,0.01454,0.01798,0.3946,0.3946,
1.476,0.2443,0.06058,0.01149,0.007868,0.04584,0.02339,0.01151,0.01668,0.01454,0.01797,0.3948,0.3953,
1.474,0.2392,0.05994,0.01139,0.007868,0.04581,0.02343,0.01147,0.01668,0.01454,0.01797,0.3948,0.3961,
1.473,0.2426,0.05966,0.01138,0.00787,0.04573,0.02346,0.01145,0.01668,0.01455,0.01798,0.3949,0.3963,
1.47,0.2406,0.05823,0.01128,0.007859,0.0457,0.0234,0.01138,0.01668,0.01455,0.01798,0.395,0.398,
1.474,0.2436,0.05994,0.01123,0.00784,0.04558,0.02337,0.01121,0.01667,0.01454,0.01874,0.3947,0.3962,
1.479,0.2371,0.06099,0.01117,0.007829,0.04548,0.02328,0.01108,0.01665,0.01452,0.02028,0.3941,0.3946,
1.475,0.2376,0.05915,0.01115,0.00783,0.04542,0.02335,0.01094,0.01665,0.01452,0.02028,0.3942,0.3965,
1.472,0.2367,0.05788,0.01109,0.007831,0.04538,0.02315,0.01088,0.01663,0.01452,0.02028,0.3943,0.3981,
1.469,0.2311,0.05689,0.01106,0.007815,0.04529,0.02308,0.01082,0.01662,0.01451,0.02027,0.3944,0.3993,
1.468,0.2334,0.05678,0.01106,0.007813,0.04518,0.02289,0.01076,0.01661,0.01451,0.02028,0.3945,0.3996,
1.466,0.2342,0.05589,0.01095,0.007813,0.04518,0.02288,0.01073,0.01661,0.01451,0.02028,0.3945,0.4007,
1.463,0.2334,0.0553,0.01082,0.007814,0.04519,0.02269,0.01066,0.0166,0.01452,0.02028,0.3945,0.4016,
1.477,0.2262,0.06263,0.01078,0.007778,0.04517,0.02272,0.01059,0.0166,0.01452,0.02051,0.3944,0.3943,
1.477,0.2233,0.06241,0.01078,0.007777,0.04513,0.02276,0.01051,0.01659,0.01452,0.02051,0.3945,0.3945,
1.478,0.2163,0.06264,0.01078,0.007775,0.04503,0.02279,0.01038,0.01658,0.01451,0.02095,0.3943,0.3943,
1.477,0.2254,0.06208,0.01077,0.007773,0.04499,0.02281,0.01031,0.01658,0.01451,0.02107,0.3944,0.3947,
1.475,0.2185,0.06118,0.01077,0.007773,0.04496,0.02278,0.0103,0.01657,0.01451,0.02107,0.3944,0.3957,
1.478,0.2175,0.0625,0.01074,0.007769,0.04491,0.02279,0.01014,0.01655,0.0145,0.02163,0.3942,0.3943,
1.479,0.2205,0.062,0.01073,0.007779,0.0449,0.02278,0.01018,0.01648,0.01496,0.02182,0.3939,0.3944,
1.481,0.2224,0.06238,0.01082,0.007793,0.04499,0.0228,0.01025,0.01649,0.01508,0.0218,0.3939,0.3937,
1.483,0.2235,0.06231,0.011,0.007794,0.045,0.02264,0.01039,0.01638,0.0152,0.02233,0.3932,0.3937,
1.483,0.2202,0.06265,0.01072,0.007719,0.04486,0.02257,0.01045,0.01623,0.01515,0.0229,0.3935,0.3933,
1.48,0.2222,0.06084,0.01073,0.007742,0.04491,0.02258,0.01039,0.01623,0.01572,0.02224,0.3936,0.3951,
1.478,0.2213,0.06014,0.01075,0.007748,0.0449,0.02248,0.01047,0.01613,0.01568,0.02216,0.3937,0.3959,
1.474,0.2194,0.05862,0.01068,0.007733,0.04483,0.02244,0.01054,0.01613,0.01564,0.0221,0.3937,0.3976,
1.481,0.218,0.06257,0.01069,0.007693,0.04473,0.02345,0.009451,0.0161,0.01584,0.02214,0.3937,0.3937,
1.477,0.2101,0.06082,0.01055,0.007682,0.04468,0.02358,0.009429,0.016,0.01588,0.0222,0.3937,0.3955,
1.474,0.2134,0.05935,0.01052,0.007694,0.04475,0.02343,0.009436,0.01592,0.01606,0.02198,0.3938,0.3971,
1.48,0.2128,0.06189,0.01053,0.007701,0.04488,0.02345,0.009481,0.01584,0.01614,0.02231,0.3937,0.3941,
1.476,0.213,0.05988,0.01055,0.007659,0.04478,0.02347,0.009699,0.01567,0.01612,0.02224,0.3938,0.3961,
1.482,0.2151,0.06219,0.01056,0.007677,0.04484,0.02344,0.009666,0.01562,0.01632,0.02256,0.3937,0.3935,
1.479,0.2165,0.06082,0.01058,0.007619,0.04493,0.02345,0.009772,0.01551,0.01642,0.02234,0.3937,0.3948,
1.481,0.214,0.06158,0.01061,0.007619,0.04483,0.02351,0.009905,0.01531,0.01642,0.02255,0.3937,0.3939,
