entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2754,0.05411,0.01193,0.008016,0.04717,0.02355,0.01281,0.01673,0.01456,0.01487,0.3948,0.4014,
1.463,0.2621,0.054,0.01193,0.008016,0.04714,0.02354,0.01268,0.01673,0.01456,0.01487,0.395,0.4015,
1.462,0.267,0.0539,0.01188,0.007917,0.04706,0.0236,0.01263,0.01673,0.01456,0.01487,0.3951,0.4017,
1.478,0.2556,0.06082,0.01187,0.007908,0.04701,0.02325,0.0126,0.0167,0.01454,0.01611,0.3947,0.3945,
1.477,0.2509,0.06069,0.01187,0.007908,0.04699,0.02347,0.01239,0.0167,0.01455,0.01611,0.3947,0.3946,
1.477,0.2503,0.06067,0.01186,0.007908,0.047,0.02354,0.01232,0.0167,0.01455,0.01611,0.3947,0.3946,
1.477,0.2542,0.06084,0.01186,0.007906,0.04696,0.0234,0.01214,0.01669,0.01455,0.01629,0.3947,0.3946,
1.479,0.2542,0.06121,0.01186,0.007906,0.04693,0.02341,0.01201,0.01668,0.01455,0.01671,0.3943,0.3944,
1.479,0.2525,0.0611,0.01184,0.007896,0.04681,0.02337,0.01193,0.01667,0.01454,0.01716,0.3945,0.3942,
1.479,0.2569,0.06095,0.01185,0.007897,0.04673,0.02347,0.01178,0.01668,0.01454,0.0175,0.3942,0.3944,
1.478,0.243,0.0608,0.01183,0.007895,0.04662,0.02331,0.01171,0.01667,0.01454,0.0175,0.3945,0.3946,
1.479,0.2354,0.05993,0.01169,0.007881,0.04651,0.02326,0.01169,0.01665,0.01453,0.01856,0.3942,0.3951,
1.479,0.2356,0.05986,0.01165,0.007879,0.04637,0.02333,0.01163,0.01665,0.01453,0.01876,0.3943,0.3951,
1.481,0.2354,0.06086,0.01163,0.007878,0.04638,0.02331,0.01157,0.01665,0.01453,0.01896,0.3941,0.3941,
1.48,0.2368,0.06009,0.01161,0.007873,0.04633,0.02336,0.01146,0.01665,0.01452,0.01933,0.3941,0.3946,
1.477,0.238,0.05889,0.01146,0.007872,0.04618,0.02342,0.01136,0.01665,0.01452,0.01933,0.3942,0.3961,
1.482,0.2337,0.06097,0.01143,0.007872,0.04613,0.02343,0.01121,0.01665,0.01453,0.01993,0.3937,0.3942,
1.478,0.2318,0.05951,0.0114,0.007857,0.04603,0.02346,0.01112,0.01663,0.01452,0.01992,0.3941,0.3954,
1.476,0.2407,0.05839,0.01139,0.007858,0.04597,0.0235,0.01101,0.01663,0.01452,0.01993,0.3942,0.3966,
1.475,0.2385,0.05817,0.01137,0.007859,0.04595,0.02353,0.01089,0.01662,0.01452,0.01993,0.3942,0.397,
1.47,0.2324,0.05635,0.01127,0.00784,0.04592,0.02352,0.01082,0.01661,0.01452,0.01993,0.3942,0.399,
1.467,0.2321,0.05505,0.0112,0.00779,0.04589,0.02361,0.01064,0.0166,0.01452,0.01993,0.3943,0.4005,
1.463,0.2323,0.05399,0.01097,0.007775,0.04581,0.02347,0.01063,0.01658,0.01453,0.01993,0.3944,0.4019,
1.461,0.2321,0.05333,0.01089,0.007775,0.04581,0.02327,0.01054,0.01657,0.01453,0.01993,0.3944,0.403,
1.479,0.222,0.06204,0.01087,0.007768,0.04573,0.02329,0.01044,0.01656,0.01452,0.02072,0.3941,0.394,
1.479,0.2197,0.06216,0.01085,0.007759,0.04572,0.02306,0.01039,0.01656,0.01451,0.02098,0.3941,0.394,
1.478,0.2191,0.06153,0.01085,0.007761,0.04566,0.02314,0.01032,0.01656,0.01452,0.02098,0.3941,0.3946,
1.475,0.2176,0.06018,0.01085,0.007762,0.04548,0.02325,0.01022,0.01656,0.01452,0.02098,0.3942,0.396,
1.479,0.2143,0.06235,0.01072,0.007711,0.04547,0.0231,0.0102,0.01656,0.01452,0.02126,0.3942,0.3939,
1.478,0.2122,0.06172,0.01061,0.007706,0.04536,0.0231,0.0101,0.01653,0.01451,0.02187,0.394,0.3945,
1.48,0.2085,0.06193,0.01052,0.007616,0.04517,0.02294,0.01001,0.01652,0.0145,0.02307,0.3936,0.3942,
1.481,0.2114,0.062,0.01053,0.007623,0.04502,0.02292,0.01009,0.01644,0.01449,0.0234,0.3935,0.394,
1.483,0.2076,0.06266,0.01051,0.007633,0.04493,0.02287,0.01018,0.01639,0.01454,0.02358,0.3935,0.3932,
1.481,0.213,0.06161,0.01062,0.007633,0.04494,0.02296,0.01026,0.01623,0.01469,0.02339,0.3935,0.3941,
1.479,0.2204,0.06052,0.01068,0.007632,0.04494,0.0229,0.01024,0.01627,0.01464,0.02333,0.3936,0.3953,
1.476,0.2192,0.05951,0.01068,0.007636,0.04478,0.02293,0.01026,0.01621,0.01469,0.02325,0.3937,0.3963,
1.475,0.2237,0.05824,0.01076,0.007651,0.04492,0.02292,0.01029,0.01624,0.01495,0.02287,0.3937,0.3974,
1.472,0.2228,0.05722,0.01085,0.007657,0.04493,0.02285,0.01026,0.0161,0.01517,0.02252,0.3938,0.3986,
1.468,0.2239,0.05561,0.01083,0.007666,0.04505,0.02282,0.01021,0.01608,0.01526,0.02227,0.3939,0.4003,
1.463,0.2275,0.05375,0.01066,0.007662,0.04512,0.02285,0.01026,0.01601,0.01555,0.02172,0.3941,0.4024,
1.461,0.234,0.05273,0.01063,0.007622,0.04513,0.02283,0.01023,0.01613,0.01625,0.02088,0.3941,0.4034,
1.48,0.2193,0.06218,0.0107,0.007624,0.04518,0.02296,0.01014,0.0162,0.01626,0.02098,0.3939,0.3939,
1.473,0.2231,0.05884,0.01058,0.00757,0.04517,0.02298,0.01028,0.01603,0.01653,0.02061,0.3942,0.3972,
1.477,0.2183,0.06083,0.01056,0.007558,0.04507,0.0229,0.01042,0.01587,0.01693,0.02028,0.3942,0.3954,
1.48,0.2109,0.06227,0.01054,0.007568,0.04493,0.02289,0.01045,0.01577,0.0171,0.02047,0.3941,0.3939,
1.477,0.2134,0.06093,0.01049,0.007588,0.04488,0.02277,0.01057,0.01563,0.01707,0.02048,0.3942,0.3954,
1.476,0.2145,0.06073,0.01051,0.007588,0.04483,0.02283,0.0105,0.01566,0.01722,0.02021,0.3943,0.3956,
1.473,0.2161,0.05921,0.01051,0.007535,0.04489,0.02297,0.01061,0.01543,0.01761,0.01983,0.3944,0.397,
1.472,0.2205,0.05866,0.01051,0.007575,0.04484,0.0229,0.01069,0.01522,0.01776,0.01963,0.3945,0.3977,
1.479,0.215,0.06194,0.01051,0.007593,0.04467,0.02292,0.01074,0.01522,0.01776,0.02005,0.3944,0.3942,
1.473,0.2177,0.05923,0.01054,0.007602,0.04456,0.02292,0.0107,0.01524,0.01787,0.01983,0.3945,0.397,
1.483,0.2161,0.06187,0.01064,0.007594,0.04449,0.0228,0.01077,0.01509,0.01826,0.02107,0.3936,0.3938,
1.481,0.2186,0.06132,0.01069,0.007595,0.04438,0.02279,0.01089,0.01493,0.01847,0.02081,0.3939,0.3942,
1.483,0.222,0.06191,0.01071,0.007603,0.04427,0.0228,0.01096,0.01476,0.01853,0.02095,0.3938,0.3937,
1.481,0.2185,0.06129,0.01066,0.007581,0.04418,0.02296,0.01085,0.01466,0.01857,0.02082,0.394,0.3944,
1.48,0.2193,0.06117,0.01066,0.007509,0.04415,0.02303,0.01082,0.01462,0.01857,0.0209,0.3941,0.3945,
1.481,0.2218,0.06136,0.01073,0.007511,0.04408,0.0229,0.01092,0.01447,0.01861,0.02108,0.394,0.3943,
1.477,0.2251,0.06003,0.01075,0.007525,0.04404,0.02282,0.01104,0.01442,0.01854,0.0208,0.3942,0.3959,
1.477,0.2262,0.0598,0.01072,0.007546,0.04399,0.02289,0.01102,0.01436,0.01884,0.02046,0.3942,0.3961,
1.48,0.2243,0.06104,0.01069,0.007554,0.04389,0.02303,0.01091,0.01425,0.01916,0.02063,0.3939,0.395,
1.479,0.2234,0.06104,0.01053,0.0075,0.04386,0.02304,0.01103,0.01412,0.0195,0.0202,0.3942,0.395,
1.477,0.2345,0.0597,0.01066,0.0075,0.04409,0.02312,0.01112,0.014,0.01941,0.02021,0.3943,0.3959,
1.48,0.2282,0.06105,0.01057,0.007492,0.04406,0.02306,0.01126,0.01391,0.01974,0.02019,0.3942,0.3945,
1.483,0.2215,0.0613,0.01066,0.007496,0.04431,0.02323,0.01113,0.01396,0.01981,0.0206,0.3936,0.3939,
1.48,0.2237,0.06028,0.01058,0.007503,0.04413,0.02328,0.01107,0.01391,0.01999,0.02041,0.3941,0.3947,
1.472,0.235,0.05747,0.01046,0.007447,0.04415,0.02533,0.009061,0.01383,0.02009,0.02007,0.3944,0.3977,
1.468,0.2337,0.05548,0.01046,0.007448,0.0444,0.02532,0.009282,0.01362,0.0204,0.01971,0.3943,0.3996,
