FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
5.46701E-6,8.20393,9.39457E-6,0.18902,35313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8552200000000006E-24,1.3334E-6,35313.0,0.0,0.0,0.0,1.0,2.30938E-21,0.0,0.0,7.34586,0.0,0.0,22.3206,0.0,301.0,517127.0,
1.6652E-5,8.20393,1.79284E-5,0.189023,35313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8552200000000006E-24,3.98472E-6,35313.0,0.0,0.0,0.0,1.0,2.30938E-21,0.0,0.0,7.32145,0.0,0.0,23.6685,0.0,401.0,517127.0,
3.25243E-5,8.20389,2.96171E-5,0.189027,35313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8552200000000006E-24,8.16895E-6,35313.0,0.0,0.0,0.0,1.0,2.30938E-21,0.0,0.0,7.30701,0.0,0.0,24.5026,0.0,501.0,517127.0,
3.4531E-6,1.02793,5.33207E-6,3.32236,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,8.85561E-7,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22926,0.0,0.0,4.92984,0.0,601.0,100531.0,
6.48265E-6,1.02792,7.40755E-6,3.32236,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,1.83985E-6,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22656,0.0,0.0,4.96671,0.0,701.0,100531.0,
9.65477E-6,1.02792,9.35106E-6,3.32236,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,3.06879E-6,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22491,0.0,0.0,4.98952,0.0,801.0,100531.0,
1.2918E-5,1.02792,1.11329E-5,3.32236,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,4.55064E-6,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22389,0.0,0.0,5.00364,0.0,901.0,100531.0,
1.62387E-5,1.02792,1.27419E-5,3.32236,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,6.26301E-6,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22325,0.0,0.0,5.01237,0.0,1001.0,100531.0,
1.95954E-5,1.02791,1.4179E-5,3.32237,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,8.18339E-6,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22286,0.0,0.0,5.01777,0.0,1101.0,100531.0,
2.29743E-5,1.02791,1.54525E-5,3.32237,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,1.02899E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22262,0.0,0.0,5.02112,0.0,1201.0,100531.0,
2.63673E-5,1.02791,1.65745E-5,3.32237,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,1.25617E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22247,0.0,0.0,5.02319,0.0,1301.0,100531.0,
2.97685E-5,1.0279,1.75592E-5,3.32237,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,1.49798E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22238,0.0,0.0,5.02447,0.0,1401.0,100531.0,
3.31751E-5,1.0279,1.84207E-5,3.32237,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,1.75264E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22232,0.0,0.0,5.02526,0.0,1501.0,100531.0,
3.65849E-5,1.02789,1.91728E-5,3.32237,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,2.01856E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22229,0.0,0.0,5.02575,0.0,1601.0,100531.0,
3.99965E-5,1.02789,1.98284E-5,3.32239,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,2.29434E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22227,0.0,0.0,5.02606,0.0,1701.0,100531.0,
4.34094E-5,1.02789,2.03992E-5,3.32239,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,2.57872E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22225,0.0,0.0,5.02625,0.0,1801.0,100531.0,
4.68227E-5,1.02788,2.08959E-5,3.32239,12566.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.04823E-25,2.8706E-5,12566.4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7.22224,0.0,0.0,5.02636,0.0,1901.0,100531.0,
