entropy,entropyInd,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,xER,xPM,
1.463,0.2779,0.05411,0.01193,0.008016,0.04717,0.02351,0.01285,0.01673,0.01456,0.01487,0.3948,0.4014,
1.478,0.2648,0.06066,0.01192,0.00801,0.04695,0.02376,0.01252,0.01671,0.01455,0.01568,0.3948,0.3945,
1.477,0.2545,0.06055,0.01191,0.008011,0.04693,0.02368,0.01247,0.01672,0.01455,0.01568,0.3948,0.3947,
1.478,0.2576,0.06084,0.0119,0.008009,0.04692,0.02361,0.01225,0.01671,0.01455,0.01599,0.3947,0.3945,
1.477,0.2517,0.06084,0.0119,0.008009,0.04686,0.02355,0.01221,0.01672,0.01455,0.01599,0.3948,0.3946,
1.476,0.2495,0.06083,0.0119,0.008011,0.04669,0.02357,0.01209,0.01672,0.01455,0.01599,0.3949,0.3948,
1.479,0.2375,0.06122,0.01189,0.008004,0.04662,0.02353,0.01198,0.01671,0.01454,0.0168,0.3946,0.3941,
1.479,0.249,0.06105,0.01188,0.008002,0.04639,0.02359,0.01184,0.01668,0.01454,0.01732,0.3945,0.3942,
1.48,0.2284,0.06098,0.01187,0.008001,0.04632,0.02364,0.01166,0.01668,0.01454,0.01766,0.3943,0.3944,
1.479,0.2363,0.06089,0.01186,0.007989,0.04631,0.02365,0.01159,0.01668,0.01453,0.01765,0.3945,0.3943,
1.48,0.2318,0.0611,0.01185,0.007987,0.04603,0.02366,0.01153,0.01668,0.01453,0.01811,0.3945,0.394,
1.477,0.2378,0.0599,0.01181,0.007987,0.04598,0.02371,0.01141,0.01668,0.01453,0.01812,0.3945,0.3954,
1.473,0.2367,0.05813,0.01172,0.007983,0.04591,0.02372,0.01136,0.01667,0.01454,0.01812,0.3946,0.3972,
1.48,0.2324,0.06106,0.01159,0.007977,0.04583,0.02373,0.01128,0.01666,0.01453,0.01884,0.3944,0.3941,
1.478,0.2375,0.06022,0.01152,0.007885,0.04581,0.02375,0.01124,0.01666,0.01453,0.01884,0.3945,0.3951,
1.475,0.2369,0.05938,0.01143,0.007865,0.04566,0.02382,0.01114,0.01666,0.01453,0.01884,0.3946,0.3961,
