FeEn,R-TfEn,R-TfaEn,REn,RabA,RabB,RabC,RabD,RabE,RabF,RabG,RabH,RabI,TfEn,TfaEn,area,cMHCIEn,exCxEn,imCxEn,membraneMarker,mvb,oMHCIEn,ovaEn,pH,pepEn,pepMHCIEn,protonEn,solubleMarker,tick,volume,
2.0574E-7,3.89843,1.38829E-7,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.08524E-8,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.7867,0.0,0.0,9.8055,0.0,101.0,661225.0,
2.05963E-7,3.89843,1.05107E-7,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.47966E-8,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.92262,0.0,0.0,6.90193,0.0,201.0,661225.0,
2.06014E-7,3.89843,7.94823E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.04721E-8,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93734,0.0,0.0,6.63857,0.0,301.0,661225.0,
2.06059E-7,3.89843,6.01109E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.09889E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.9387,0.0,0.0,6.61463,0.0,401.0,661225.0,
2.06096E-7,3.89843,4.76343E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.22403E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93882,0.0,0.0,6.61258,0.0,501.0,661225.0,
2.06141E-7,3.89843,3.60401E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.34041E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,601.0,661225.0,
2.06185E-7,3.89843,2.72773E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42848E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,701.0,661225.0,
2.06237E-7,3.89843,1.97201E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.50458E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,801.0,661225.0,
2.06274E-7,3.89843,1.56493E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54565E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,901.0,661225.0,
2.06319E-7,3.89843,1.18663E-8,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.58393E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,1001.0,661225.0,
2.06363E-7,3.89843,9.0072E-9,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61297E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,1101.0,661225.0,
2.06415E-7,3.89843,6.54144E-9,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.63815E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,1201.0,661225.0,
2.0646E-7,3.89843,4.98274E-9,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.65417E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,1301.0,661225.0,
2.06505E-7,3.89843,3.8047E-9,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6664E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,1401.0,661225.0,
2.06549E-7,3.89843,2.91437E-9,10.1258,39099.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67575E-7,39099.3,0.0,0.0,0.0,1.0,4.04595E-21,0.0,0.0,7.93884,0.0,0.0,6.61225,0.0,1501.0,661225.0,
